epoch,train_loss,val_loss,macro_f1,micro_f1,macro_recall,lr,mean_grad_norm,clipped_batches
1,0.07827422858917704,0.06806306218433887,0.16591087788716014,0.2872737344607915,0.37700626680496535,0.0005,0.20350974623626664,0
2,0.06545056172324866,0.0602222266978938,0.20643831264259585,0.3907305945807662,0.38919046044229033,0.0005,0.1595518771249816,0
3,0.05986078840454175,0.06003782911608143,0.22325213003704888,0.406519569797095,0.3979032116314486,0.0005,0.141522274007606,0
4,0.055971731749963005,0.05488069867997125,0.23822551011903567,0.43921736850885346,0.41196783963343825,0.0005,0.12785509059786315,0
5,0.05309505557892089,0.0526754209417264,0.2567170567002284,0.46728562029388115,0.4286179074556479,0.0005,0.11717208872666122,0
6,0.05063578032750627,0.05062581786095753,0.26373387518649816,0.47244056165283627,0.46034277166186693,0.0005,0.10928691561269736,0
7,0.048661601938609494,0.04910654255840639,0.2711998561061805,0.5194475227721167,0.44491761512053574,0.0005,0.10192459339072348,0
8,0.04713874980856808,0.048870285328603574,0.28160168765631105,0.5479151426481346,0.4416850685567097,0.0005,0.0967834701211105,0
9,0.045733027808198004,0.047493800292088294,0.2862195670877363,0.5353035972795062,0.45721140241359876,0.0005,0.09250991102421151,0
10,0.04438886725886716,0.04775970337328593,0.2964074327245171,0.5593176826311436,0.4429086293245356,0.0005,0.08810574590767685,0
11,0.043257949807799775,0.04656382998520068,0.29373858778221,0.5770175438596491,0.4578127178786313,0.0005,0.08538794635629153,0
12,0.04237947005351638,0.04616321908346082,0.30528833095677876,0.5658148842676817,0.46357548755365846,0.0005,0.08244496927434496,0
13,0.04124297787807399,0.04544002296991297,0.31067151497648765,0.5706563054312019,0.4632216957052268,0.0005,0.07954767889433695,0
14,0.040393419477491976,0.04498251606200798,0.31503369766387007,0.5901405944118171,0.4522949981785136,0.0005,0.07708354854790365,0
15,0.0393638966596463,0.046065312892607777,0.3101189983232232,0.5987344404503728,0.45603234477440385,0.0005,0.07486011083746849,0
16,0.03895935191402954,0.04517411738997123,0.31405646087898637,0.5856079404466501,0.4541724160816402,0.0005,0.07375087301050753,0
17,0.03787714850277959,0.045473304760191194,0.31572277556065115,0.5930599369085173,0.46609732712795826,0.0005,0.07145778656190616,0
18,0.037406600139894185,0.045550481161487945,0.32676295012300943,0.6035636731415652,0.4643293662054139,0.0005,0.07029403642344058,0
19,0.03629742062686629,0.04552993883054154,0.32698306700584073,0.6012327560904022,0.4763916433689268,0.0005,0.06867870470407128,0
20,0.03574710695795177,0.0467946818952333,0.3286278988165906,0.6037229282262395,0.46677179486353526,0.0005,0.067755723907518,0
21,0.035027103371517924,0.044798320661209964,0.3309117615829673,0.602017610356289,0.47170620541744984,0.0005,0.06671988684872565,0
22,0.034368501078224985,0.04686913821308877,0.3264109331625385,0.6021681325424422,0.47042389807957447,0.0005,0.06565224195204615,0
23,0.03362318543921292,0.046073509985519165,0.3232321258034115,0.6231356064144481,0.46703968959739894,0.0005,0.06470178796528925,0
24,0.03300159504527624,0.04630426953387334,0.32456569455656903,0.6035139092240117,0.46182050173979217,0.0005,0.06420214340818466,0
25,0.032253599808582785,0.04697760812213286,0.32275140672327485,0.6198198198198198,0.45317098776769177,0.00025,0.06347367757090522,0
26,0.029462187172315666,0.046021020727716945,0.34175080110595185,0.6327079386420583,0.47501304524595384,0.00025,0.05936718618436924,0
27,0.02849126204335334,0.04954202450942768,0.33597333346682307,0.6255469386523431,0.4837979995806597,0.00025,0.060219285083059904,0
28,0.027885421598309514,0.04921231856114506,0.3371804903618767,0.6372120793137039,0.4636760580783094,0.00025,0.06094231902572669,0
29,0.027516391560164673,0.05108766979720099,0.33929421770002394,0.6472115354540052,0.46488415167191843,0.00025,0.061849095357152134,0
30,0.02684058883354527,0.04905275008372361,0.33731335730462286,0.6356305440109175,0.4625032025848652,0.000125,0.06218973350869529,0
