label,diagnosis_code,diagnosis_name,support,original_f1,new_f1,delta_f1,original_recall,new_recall,delta_recall,original_precision,new_precision,delta_precision,status
label_251205003,251205003,Unknown - Verify,17,0.1022,0.1096,0.0074,0.4118,0.4706,0.0588,0.0583,0.062,0.0037,MAINTAINED
label_251223006,251223006,Unknown - Verify,32,0.2734,0.3048,0.0314,0.5938,0.5,-0.0938,0.1776,0.2192,0.0416,IMPROVED
label_270492004,270492004,Unknown - Verify,172,0.6898,0.6944,0.0046,0.75,0.7267,-0.0233,0.6386,0.6649,0.0263,MAINTAINED
label_27885002,27885002,Unknown - Verify,13,0.2778,0.2222,-0.0556,0.3846,0.3077,-0.0769,0.2174,0.1739,-0.0435,DEGRADED
label_284470004,284470004,Premature Atrial Contraction,192,0.3226,0.3378,0.0152,0.3906,0.4583,0.0677,0.2747,0.2675,-0.0072,MAINTAINED
label_29320008,29320008,Unknown - Verify,22,0.375,0.3404,-0.0346,0.4091,0.3636,-0.0455,0.3462,0.32,-0.0262,DEGRADED
label_365413008,365413008,Unknown - Verify,103,0.3245,0.3139,-0.0106,0.5922,0.4175,-0.1748,0.2234,0.2515,0.028,MAINTAINED
label_39732003,39732003,Left Axis Deviation,252,0.6635,0.6587,-0.0048,0.8294,0.7659,-0.0635,0.5529,0.5778,0.0249,MAINTAINED
label_418818005,418818005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_425856008,425856008,Unknown - Verify,11,0.1,0.2759,0.1759,0.0909,0.7273,0.6364,0.1111,0.1702,0.0591,IMPROVED
label_426177001,426177001,Sinus Bradycardia,2443,0.9601,0.9563,-0.0038,0.9656,0.9853,0.0196,0.9547,0.929,-0.0257,MAINTAINED
label_426183003,426183003,Unknown - Verify,2,0.0299,0.0952,0.0654,0.5,0.5,0.0,0.0154,0.0526,0.0372,IMPROVED
label_426627000,426627000,Unknown - Verify,2,0.3333,0.2857,-0.0476,0.5,0.5,0.0,0.25,0.2,-0.05,DEGRADED
label_426648003,426648003,Unknown - Verify,4,0.0667,0.1111,0.0444,0.25,0.25,0.0,0.0385,0.0714,0.033,IMPROVED
label_426664006,426664006,Unknown - Verify,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426761007,426761007,Supraventricular Tachycardia,108,0.7965,0.8037,0.0072,0.8333,0.8148,-0.0185,0.7627,0.7928,0.0301,MAINTAINED
label_426783006,426783006,Sinus Rhythm,1241,0.8548,0.8585,0.0037,0.892,0.8848,-0.0073,0.8206,0.8337,0.0131,MAINTAINED
label_426995002,426995002,Unknown - Verify,9,0.0909,0.0455,-0.0455,0.2222,0.1111,-0.1111,0.0571,0.0286,-0.0286,DEGRADED
label_427084000,427084000,Sinus Tachycardia,1042,0.9448,0.9442,-0.0006,0.952,0.9501,-0.0019,0.9376,0.9384,0.0008,MAINTAINED
