epoch,train_loss,val_loss,lr,mean_gradient_norm,max_gradient_norm,clipped_batches
1,0.08145469680050389,0.07232883875749847,0.00136,0.12042137242190028,0.8322964906692505,0
2,0.06764295169122912,0.06424745077108608,0.00136,0.07943915011858953,0.24606387317180634,0
3,0.06101783040642459,0.05802456836690407,0.00136,0.06625501641547421,0.18671301007270813,0
4,0.05621369835360589,0.05396870063213835,0.00136,0.0583078212977617,0.1518152803182602,0
5,0.05260498159136764,0.0526707763644066,0.00136,0.05243705985935684,0.1478831171989441,0
6,0.050321731772027437,0.05051885670108456,0.00136,0.0481268283571701,0.1367216408252716,0
7,0.04802963504003044,0.050553153716847266,0.00136,0.045073634719566595,0.15868137776851654,0
8,0.0462851153351548,0.04889650261267485,0.00136,0.042461630397170845,0.13473105430603027,0
9,0.04484165828946832,0.047077012804820725,0.00136,0.04067852560841754,0.12233014404773712,0
10,0.04344834269506565,0.04846066917201608,0.00136,0.03929484278521678,0.12259165197610855,0
11,0.04220868610017724,0.04742789321405645,0.00136,0.03794010695511181,0.14244136214256287,0
12,0.041001480191310495,0.04662313380439666,0.00136,0.0370096353576462,0.1643708199262619,0
13,0.04020657808546597,0.04573837923243253,0.00136,0.03602288071177372,0.11178894340991974,0
14,0.03930999973379507,0.046016871315345584,0.00136,0.035751967889309566,0.14875200390815735,0
15,0.0382310217516917,0.04534629885991162,0.00136,0.03511162542008422,0.10748057812452316,0
16,0.03739933624989977,0.047540353814344294,0.00136,0.03464480705732698,0.11555157601833344,0
17,0.036586752610573064,0.045358326926851635,0.00136,0.03413294490590797,0.10409744828939438,0
18,0.035750020934218266,0.045707534464585205,0.00136,0.033948084381918014,0.12456859648227692,0
